Nome Escola,Pontuação IRD
HELEN KELLER,2.499122
DURVALINO GRION PROF,2.637653
EUDECIO LUIZ VICENTE PROF ETEC,3.699338
HERVAL BELLUSCI ENGENHEIRO ETEC,3.350667
FLEURIDES CAVALLINI MENECHINO PROFA,2.638766
SONHO DE CRIANCA EMEI CICLO I,3.75411
EULALIA PASCHOAL BRIGHENTI PROFA EMEI CICLO II,4.446076
EURICO LEITE DE MORAIS PROF EMEF,3.31153
TERUYO KIKUTA PROFA EMEF,3.878073
EUNICE MARIS PROFA EMEI CICLO II,4.547149
DOMINGOS LATINE EMEI CICLO II,3.619306
NAVARRO DE ANDRADE EMEF,4.142505
RAIO DE SOL EMEI CICLO I,3.691051
PEQUENO POLEGAR EMEI CICLO I,2.264123
CRIANCA FELIZ EMEI CICLO I,3.845451
PEQUENO PRINCIPE EMEI CICLO I,2.920012
CANTINHO DA CRIANCA EMEI CICLO I,2.375776
ESCOLA MUNICIPAL DE ED INFANTIL MONTEIRO LOBATO,2.628274
ESCOLA MUNICIPAL DE EDUCACAO INFANTIL CECILIA MEIRELES,3.065839
CRECHE ESCOLA BARBARA ROMANO DE OLIVEIRA,3.409811
ODILA BOVOLENTA DE MENDONCA PROFESSORA,2.918811
RUTH DOS REIS PROFA ESCOLA MUNICIPAL,3.92444
AMILDE TEDESCHI ESCOLA MUNICIPAL,3.952461
CRECHE ESCOLA DOUTOR LUIZ JOSE MASSUIA BETITO,2.539305
JOSE THEODORO DE MORAES,2.642029
GERALDO LOURENCO PADRE,3.235729
EGLE LUPORINI COSTA PROFESSORA,2.914377
JOAQUIM GIRALDI PROFESSOR ESCOLA MUNICIPAL,3.97656
JOSE LEGASPE MUINHA EMEF,3.243648
LUIZ CARLOS SIMON PROFESSOR EMEB,3.606108
JOAO SILVA EMEB,3.914937
ZULMIRA MORAES LEGASPE MAMEDE EMEF,3.316966
RUBENS LEME ASPRINO EMEB,3.39372
CHAPEUZINHO VERMELHO EMEB,3.892899
CLARICE MOTTA MORO EMEB,3.7743
LEONOR CONTI ELIAS PROFESSORA EMEIF,3.294418
JOSE CASTELO CAPITAO EMEB,1.872227
HILDA AVERSI CASTELO PROFA EMEI,3.259956
ANGELO SYLVIO SELBERE EMEB,3.543262
JOSE DE OLIVEIRA JOSE DEMETRIO EM,3.821889
JOAO DE OLIVEIRA BORGES EMEB,4.207428
ARNALDO PEREIRA CHEREGATTI ETEC,3.742043
MARIA TEREZINHA GONCALVES ALONSO GRILLO DRA CEI,2.805992
CONJUNTO HABITACIONAL DONA DOSANJOS MACEDO,2.470069
CRECHE ESCOLA MUNICIPAL,3.127329
TIMOTHEO SILVA PROFESSOR,2.553355
JOAO URIAS DA SILVA CAPITAO,2.879503
JOSE MARCELLO DE ALMEIDA PROFESSOR DOUTOR EMEB,3.002484
FELIPPE URTADO SERRATO EMEB,3.276398
GABRIELA LOYOLLA DE ANDRADE PROFA EMEB,3.346584
AUREA SOARES PROFESSORA EMEB,3.155605
JARDIM MONEDA CRECHE MUNICIPAL DO,0.92711
FRANCISCO TOZZI DR,2.840446
VICENTE RIZZO DR,2.886113
EULOGIO EMILIO MARTINEZ DR EMEI,3.44055
MIRELLA DE GODOI SOARES EMEI,3.64197
MARIA JOSE SOUZA VOVO LILI EMEI,3.007035
JOSE ALVES MORAES EMEI,3.291455
GERALDO MANTOVANI DR EMEIEF,4.231137
LUIZ BARBOSA EM,2.974308
IVAN GALVAO DE FRANCA PROF EMEIEF,3.067227
PEDRO FACCHINI COMENDADOR EM,3.820724
LETICIA DA SILVA SAMBO CRECHE MUNICIPAL,2.751385
CRECHE MUNICIPAL MANUELLA PINHEIRO LEITE SANTOS,3.323482
LYDIA RANGO D ARAGONA CRECHE MUNICIPAL,2.886325
SANTA IGNES CRECHE,2.964047
CREUSA APARECIDA MARIANO PROFA EMEF,3.422392
PAULO DELICIO,3.056369
AMELIA MENEZES CUSTODIO CRECHE MUNICIPAL,4.965775
MIRIAN EPHIGENIA VON ZUBEN PROFA EM,3.162954
PAULO APARECIDO SILVERIO EMEF,3.797991
ANGELO FRANZIN,2.081592
NUCLEO PROM SOCIAL ATENDIMENTO A 1 INFANCIA,3.850932
MARIA LUIZA FORNASIER FRANZIN EMEF,3.705192
MANOEL GONCALVES PROF,2.361626
JOAO BATISTA DE AQUINO PE,2.780498
MARIA BATAGLIN DELAZARI,3.250594
JOAO BATISTA RIBEIRO,2.621246
FARID FAYAD PROF,2.788595
CLELIA NAPOLEONE CREMA EMEFEI,2.308591
LYDIA THIEDE PROFA EMEFEI E CRECHE,2.58189
MARIA LECTICIA SORMANI COGO PROFA EMEI CRECHE,2.273857
SILVIA MARIA AMATO TRIGO PROFA EMEFEI,2.776205
THEREZA YVONETI PERNI PROFA EMEI CRECHE,2.673292
PILAR SILVA PADILHA EMEI CRECHE,3.190599
ANTONIO TRAVAIN EMEI,3.309422
SERGIO AUGUSTO MAININI PROFESSOR EMEFEI,2.567723
LEITE CORONEL EMEF,2.965839
LUIZ ODASSI NETO PROF EMEF,2.527025
FAUSTO DE MARCO PROF EMEF,3.483919
MARIA DE NAZARE CRECHE E ESCOLA,3.647912
JOSE OCTAVIANI FILHO VEREADOR EMEFEI,2.721693
NEUSA FRANCO SZELPAL MILARE CRECHE ESCOLA,4.116632
ALBA RAMOS BARBOSA CONDI PROFESSORA CRECHE BERCARIO,3.322334
DIOMIRA NAPOLEONE PASCHOAL UNIDADE INFANTIL,2.858554
EMEI PROFA ANESIA BALBINA SANT ANNA BIGARELLI,2.964113
SEBASTIAO FUNCHAL EMEFEI CRECHE,3.643693
NILZA MARIA SANTAREM PASCHOAL PROFA,2.926928
EDUARDO SOARES PROF,2.169652
LUCIANO JOSE RAMOS EMEIF,2.588731
JEFFERSON DE JESUS ARRUDA DE OLIVEIRA EMEI,3.036749
TIAGO DE JESUS MARTINS EMEIEF,3.080181
JOSE GRACA EMEIEF,3.384387
NIVALDO LAZARO DO CARMO CUBAS EMEF,3.616318
GABRIEL BRICOLA MATHEUS ESCOLA MUN DE EDUC INFANTIL,2.110167
FILOMENA SCATENA CHRISTOFANO,2.894394
ROSANGELA LIMA DA SILVA EMEI,2.807053
ALEIDE ESTEVES FARIA MUNDO ENCANTADO CRECHE MUN,4.842915
OVIDIO DE SOUZA DIAS,2.995134
