NO_BAIRRO,IDHM
Alto de Pinheiros,0.9175
Anhanguera,0.6603333333333333
Aricanduva,0.7311153846153846
Artur Alvim,0.7137083333333334
Barra Funda,0.7996666666666666
Bela Vista,0.7865333333333333N
Belém,0.7855555555555556
Bom Retiro,0.6977058823529412
Brasilândia,0.697060606060606
Brás,0.7932222222222223
Butantã,0.846625
Cachoeirinha,0.7194838709677419
Cambuci,0.8016
Campo Belo,0.8113181818181818
Campo Grande,0.77928125
Campo Limpo,0.7032727272727274
Cangaíba,0.7062075471698114
Capão Redondo,0.678825
Carrão,0.7854545454545455
Casa Verde,0.7738823529411765
Cidade Ademar,0.7202738095238095
Cidade Dutra,0.6845731707317073
Cidade Líder,0.7313061224489796
Cidade Tiradentes,0.659
Consolação,0.9056666666666667
Cursino,0.74725
Ermelino Matarazzo,0.6940000000000001
Freguesia do Ó,0.7644782608695652
Grajaú,0.6405901639344262
Guaianases,0.6824848484848485
Iguatemi,0.6548571428571428
Ipiranga,0.7521153846153846
Itaim Bibi,0.9119565217391304
Itaim Paulista,0.6652340425531914
Itaquera,0.7070833333333333
Jabaquara,0.7381052631578948
Jaguara,0.747
Jaguará,0.7171904761904762
Jaraguá,0.6877894736842105
Jardim Helena,0.6355454545454545
Jardim Paulista,0.9293750000000001
Jardim São Luís,0.7259758064516129
Jardim Ângela,0.6581499999999999
Jaçanã,0.71225
José Bonifácio,0.6578095238095238
Lajeado,0.6457368421052632
Lapa,0.884
Liberdade,0.8025833333333333
Limão,0.7406666666666667
Mandaqui,0.7834210526315789
Marsilac,0.607
Moema,0.9336666666666668
Morumbi,0.7618666666666667
Mooca,0.8404444444444444
Parelheiros,0.65409375
Pari,0.7061666666666667
Parque do Carmo,0.7079166666666666
Pedreira,0.6890508474576271
Penha,0.7647179487179487
Perdizes,0.8977
Perus,0.6678125
Pinheiros,0.9245555555555556
Pirituba,0.7411960784313726
Ponte Rasa,0.7546451612903226
Raposo Tavares,0.7162258064516129
República,0.8081666666666667
Rio Pequeno,0.734
Sacomã,0.7586224489795919
Santa Cecília,0.8593
Santana,0.7916428571428572
Santo Amaro,0.8737777777777778
Sapopemba,0.6757011494252874
Saúde,0.8022272727272728
Socorro,0.83005
Sé,0.7395
São Domingos,0.7111818181818182
São Lucas,0.7705333333333333
São Mateus,0.6959318181818182
São Miguel ,0.692125
São Rafael,0.6587500000000001
Tatuapé,0.7838
Tremembé,0.7186301369863014
Tucuruvi,0.82375
Vila Andrade,0.7473157894736842
Vila Curuçá,0.6687931034482758
Vila Formosa,0.75255
Vila Guilherme,0.75025
Vila Jacuí,0.6934166666666667
Vila Leopoldina,0.7177777777777777
Vila Maria,0.7743658536585366
Vila Mariana,0.8719285714285715
Vila Matilde,0.7768928571428572
Vila Medeiros,0.6898333333333333
Vila Prudente,0.7622432432432432
Vila Sônia,0.7814411764705882
Água Rasa,0.7937142857142857
