Nome Escola,IDHM,% jbd,% jeif
ISABEL VIEIRA DE SERPA E PAIVA PROFESSORA,0.6877894736842105,0.5347423187107241,0.4652576812892759
BENEDITO TOLOSA PROFESSOR,0.7738823529411765,0.05347582966272146,0.9465241703372785
TAUNAY VISCONDE DE,0.7406666666666667,0.11409529067902134,0.8859047093209786
LUIZ GONZAGA RIGHINI PROFESSOR,0.7406666666666667,0.492014301983024,0.507985698016976
PAULO SETUBAL,0.7406666666666667,0.7493826110220728,0.2506173889779272
FRONTINO GUIMARAES,0.7916428571428572,0.4126987981363234,0.5873012018636766
PAULO EGYDIO DE OLIVEIRA CARVALHO SENADOR,0.7743658536585366,0.1118696132654381,0.8881303867345619
TOLEDO BARBOSA,0.75025,0.6510107180183242,0.3489892819816758
HORACIO LAFER MINISTRO,0.7743658536585366,0.8507241630416883,0.1492758369583117
OCTAVIO MENDES DOUTOR,0.7916428571428572,0.45611229136217046,0.5438877086378295
FLORINDA CARDOSO PROFESSORA,0.7743658536585366,0.9591240870316688,0.04087591296833115
AFRANIO PEIXOTO,0.75025,0.7058827749477955,0.2941172250522045
ANESIA SINCORA PROFESSORA,0.75025,0.7666015676606981,0.2333984323393019
JOAO VIEIRA DE ALMEIDA,0.7743658536585366,0.8134734125599501,0.1865265874400499
HOMEM DE MELLO BARAO,0.7916428571428572,0.16771388856429892,0.8322861114357011
BUENOS AIRES,0.7916428571428572,0.4560903695963887,0.5439096304036113
EURICO FIGUEIREDO PROF,0.71225,0.26858911193994806,0.731410888060052
SEBASTIAO DE SOUZA BUENO PROF,0.6898333333333333,0.6883338668126145,0.31166613318738545
DAVID EUGENIO DOS SANTOS PROF,0.6898333333333333,0.19427153572954203,0.805728464270458
JULIO PESTANA,0.82375,0.26170997467585544,0.7382900253241446
SILVA JARDIM,0.82375,0.8733084672318554,0.1266915327681446
MIGUEL VIEIRA FERREIRA DR,0.6898333333333333,0.17557403748847944,0.8244259625115206
ARNALDO BARRETO,0.7186301369863014,0.9414507213644563,0.05854927863554371
SAO PAULO,0.7932222222222223,0.14347302519891303,0.856526974801087
ROMAO PUIGARI,0.7932222222222223,0.9358005730526002,0.06419942694739977
ANDRE XAVIER GALLICHO PROFESSOR,0.8404444444444444,0.03263674246137471,0.9673632575386253
ANTONIO FIRMINO DE PROENCA PROF,0.8404444444444444,0.1318401116219602,0.8681598883780398
EDUARDO PRADO,0.7932222222222223,0.7541337112050117,0.24586628879498829
ARMANDO ARAUJO,0.8404444444444444,0.222169592882273,0.777830407117727
PAULO LUIG FREI,0.7061666666666667,0.00626443735520521,0.9937355626447948
PANDIA CALOGERAS,0.8404444444444444,0.5900877403889577,0.4099122596110423
